epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.26849,2.79391,3.59018,2.94544,0.00333,1,0.02216,0.00593,3.52218,5.37287,3.76468,2e-05,2e-05,2e-05
2,18.1724,2.6442,3.28532,2.75383,0.00292,0.875,0.0263,0.00597,3.64962,5.131,3.86585,5.8812e-05,5.8812e-05,5.8812e-05
3,26.9459,2.75571,3.37413,2.74153,0.00313,0.9375,0.03552,0.00996,3.76301,4.92286,4.11522,9.604e-05,9.604e-05,9.604e-05
4,35.2663,2.55221,3.44977,2.67143,0.00313,0.9375,0.04381,0.01451,3.62222,4.80873,3.95235,0.000131684,0.000131684,0.000131684
5,42.9898,2.42072,3.0395,2.51189,0.00333,1,0.06484,0.02587,3.36815,4.86788,3.76433,0.000165744,0.000165744,0.000165744
6,50.9336,2.28328,2.77534,2.27042,0.00333,1,0.05894,0.01651,3.22574,4.74107,3.52049,0.00019822,0.00019822,0.00019822
7,58.7366,2.05722,2.80894,2.11862,0.00333,1,0.07823,0.02349,3.0423,4.59091,3.43459,0.000229112,0.000229112,0.000229112
8,66.4372,2.11456,2.83438,2.26373,0.00333,1,0.148,0.03827,3.01601,4.35457,3.34576,0.00025842,0.00025842,0.00025842
9,74.7002,2.14293,2.78564,2.28856,0.00333,1,0.15019,0.04217,3.02869,4.4232,3.31991,0.000286144,0.000286144,0.000286144
10,83.2629,1.96502,2.78066,2.06701,0.00333,1,0.14888,0.02886,3.08561,4.23005,3.28984,0.000312284,0.000312284,0.000312284
11,91.9236,1.84841,2.75605,2.0676,0.00313,0.9375,0.14782,0.02996,3.0992,4.21265,3.3561,0.00033684,0.00033684,0.00033684
12,100.312,1.88533,2.62168,2.01878,0.00313,0.9375,0.0492,0.01683,3.12135,4.25392,3.41925,0.000359812,0.000359812,0.000359812
13,108.358,1.88129,2.57203,2.02999,0.00313,0.9375,0.05365,0.01802,3.22553,4.44377,3.37291,0.0003812,0.0003812,0.0003812
14,116.638,1.79624,2.5852,2.0327,0.00313,0.9375,0.06662,0.02075,3.32653,4.35384,3.4426,0.000401004,0.000401004,0.000401004
